province,district,street,price_unit,price_value,price_absolute,area,type,front,room,toilet,floor,attributes
01,006,Hồ Bãi Cát,1,5.35,5350.0,37.0,1,4.0,6,4,4,Ngõ
01,006,Giảng Võ,1,70.0,70000.0,154.0,1,6.2,4,3,4,"Ô tô, Kinh doanh, Mặt phố"
01,006,Văn Chương,1,9.3,9300.0,61.0,1,2.7,0,0,2,"Kinh doanh, Ngõ"
01,006,Tôn Đức Thắng,1,33.5,33500.0,88.0,1,5.8,0,0,2,"Ô tô, Mặt phố, Kinh doanh"
01,006,+ 26 Giảng Võ,1,99.0,99000.0,350.0,1,8.5,11,0,6,"Kinh doanh, Ô tô, Dòng tiền, Thang máy"
01,006,Nguyễn Chí Thanh,1,14.0,14000.0,42.0,1,3.3,6,1,5,"Ô tô, Kinh doanh, Ngõ"
01,006,Trường Chinh,1,8.3,8300.0,53.0,1,3.6,0,0,1,"Ô tô, Mặt phố, Kinh doanh"
01,006,Hào Nam,1,27.5,27500.0,60.0,1,3.9,7,3,6,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
01,006,Trường Chinh,1,4.5,4500.0,25.0,1,3.0,3,3,5,Ngõ
01,006,Hoàng Cầu,1,40.5,40500.0,89.0,1,4.0,4,2,4,Ngõ
01,006,Văn Chương,1,6.95,6950.0,25.0,1,3.0,3,3,4,"Ô tô, Kinh doanh, Dòng tiền"
01,006,Phương Mai,1,16.9,16900.0,41.0,1,3.5,0,0,5,"Ô tô, Kinh doanh, Thang máy"
01,006,Nguyễn Lương Bằng,1,18.0,18000.0,70.0,1,4.9,20,20,8,"Kinh doanh, Chung cư, Dòng tiền, Thang máy, Ngõ"
01,006,Chùa Bộc,1,12.5,12500.0,42.0,1,3.2,8,0,4,"Ô tô, Kinh doanh, Ngõ"
01,006,Yên Lãng,1,16.0,16000.0,71.0,1,5.5,10,10,6,"Ô tô, Kinh doanh, Thang máy, Ngõ"
01,006,Yên Lãng,1,13.0,13000.0,60.0,1,3.4,4,0,5,"Ô tô, Kinh doanh, Ngõ"
01,006,Thái Hà,1,12.5,12500.0,58.0,1,3.2,3,0,3,"Ô tô, Kinh doanh, Ngõ"
01,006,chợ Khâm Thiên,1,4.5,4500.0,31.0,1,4.0,5,0,5,Ngõ
01,006,Tôn Đức Thắng,1,17.4,17400.0,35.0,1,8.0,2,0,4,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền, Thang máy"
01,006,+ 6 Đặng Tiến Đông,1,55.0,55000.0,195.0,1,9.0,0,0,3,"Ô tô, Mặt phố, Kinh doanh"
01,006,Thái Hà,1,7.5,7500.0,45.0,1,3.5,6,4,5,Ngõ
01,006,Tôn Đức Thắng,1,21.0,21000.0,52.0,1,10.5,0,0,2,"Mặt phố, Kinh doanh"
01,006,Đê La Thành,1,10.7,10700.0,43.0,1,3.0,0,0,2,"Mặt phố, Kinh doanh, Ô tô"
01,006,Thái Hà,1,63.0,63000.0,224.0,1,7.0,5,6,9,"Ô tô, Kinh doanh, Dòng tiền, Thang máy, Ngõ"
01,006,Cát Linh,1,22.0,22000.0,64.0,1,4.9,6,2,4,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
01,006,Hào Nam,1,9.2,9200.0,55.0,1,4.3,5,3,5,"Ô tô, Mặt phố"
01,006,Thịnh Quang,1,5.5,5500.0,49.0,1,3.1,0,0,3,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
01,006,Thái Thịnh,1,9.9,9900.0,118.0,1,9.5,2,0,2,"Dòng tiền, Chung cư, Ngõ"
01,006,Khương Thượng,1,8.8,8800.0,30.0,1,3.0,4,3,4,Ngõ
01,006,Tôn Đức Thắng,1,65.0,65000.0,133.0,1,9.1,0,0,4,"Mặt phố, Ô tô, Kinh doanh"
01,006,Lan Bá,1,6.95,6950.0,57.0,1,3.0,0,0,4,Ngõ
01,006,Thịnh Quang,1,12.5,12500.0,65.0,1,4.0,7,3,4,"Ô tô, Kinh doanh"
01,006,Trường Chinh,1,21.5,21500.0,103.0,1,6.5,0,0,1,"Mặt phố, Kinh doanh"
01,006,Thái Thịnh,1,13.5,13500.0,57.0,1,3.6,8,6,5,"Ô tô, Kinh doanh, Ngõ"
01,006,Lệnh Cư,1,6.5,6500.0,85.0,1,3.0,0,0,2,Ngõ
01,006,Đường Láng,1,9.2,9200.0,50.0,1,3.6,6,4,5,"Ô tô, Kinh doanh, Dòng tiền, Ngõ"
01,006,Đặng Tiến Đông,1,33.6,33600.0,120.0,1,4.9,0,0,2,"Dòng tiền, Kinh doanh"
01,006,Giảng võ,1,11.6,11600.0,40.0,1,4.3,0,0,3,"Ô tô, Mặt phố, Kinh doanh"
01,006,Chùa Bộc,1,55.0,55000.0,107.0,1,4.1,0,0,5,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
01,006,Đặng Tiến Đông,1,30.0,30000.0,96.0,1,4.0,8,0,4,"Ô tô, Ngõ"
01,006,An Trạch 1,1,13.0,13000.0,90.0,1,5.0,0,0,3,"Ô tô, Kinh doanh, Ngõ"
01,006,Tôn Đức Thắng,1,9.9,9900.0,80.0,1,3.6,0,0,3,"Ô tô, Kinh doanh, Ngõ"
01,006,Hồ Đắc Di,1,12.5,12500.0,36.0,1,3.0,5,5,5,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
01,006,Cống Trắng,1,8.6,8600.0,86.0,1,4.2,6,2,4,Ngõ
01,006,Phương Mai,1,10.3,10300.0,65.0,1,3.5,8,0,3,Kinh doanh
01,006,Tôn Đức Thắng,1,3.2,3200.0,32.0,1,3.0,3,3,3,Ngõ
01,006,Tiến Bộ,1,5.0,5000.0,42.0,1,6.0,0,0,4,Ngõ
01,006,Trần Quý Cáp,1,10.0,10000.0,42.0,1,5.5,0,0,3,"Ô tô, Mặt phố, Dòng tiền, Kinh doanh"
01,006,+ 86 nguyễn khuyến,1,55.2,55200.0,175.0,1,7.5,0,0,2,Mặt phố
01,006,+ 298 + 300 + 302 + 304 Tôn Đức Thắng,1,485.0,485000.0,528.0,1,22.0,0,0,9,Mặt phố
01,006,La Thành,1,13.6,13600.0,55.0,1,3.8,8,3,4,"Ô tô, Kinh doanh, Ngõ"
01,006,Tôn Đức Thắng,1,57.5,57500.0,128.0,1,4.0,0,0,1,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
01,006,Vũ Thạnh,1,4.85,4850.0,60.0,1,6.0,0,0,1,Ngõ
01,006,Trung Phụng,1,29.0,29000.0,71.0,1,4.0,0,0,1,"Mặt phố, Kinh doanh"
01,006,Láng Hạ,1,18.0,18000.0,57.0,1,3.9,6,3,4,"Mặt phố, Kinh doanh, Dòng tiền"
01,006,Linh Quang,1,2.1,2100.0,23.0,1,4.2,2,1,3,Ngõ
01,006,Pháo Đài Láng,1,47.0,47000.0,240.0,1,18.0,0,0,1,"Mặt phố, Kinh doanh, Dòng tiền"
01,006,La Thành,1,7.5,7500.0,29.0,1,2.9,4,3,4,"Ô tô, Mặt phố, Kinh doanh"
01,006,Hoàng An,1,8.5,8500.0,63.0,1,4.0,2,1,3,"Kinh doanh, Ngõ"
01,006,Hoàng An,1,8.5,8500.0,63.0,1,4.0,0,0,2,Ngõ
01,006,Trại Tóc,1,4.5,4500.0,30.0,1,7.3,0,0,2,Ngõ
01,006,Trại Tóc,1,4.5,4500.0,30.5,1,4.8,0,0,2,Ngõ
01,006,Linh Quang B,1,5.2,5200.0,44.0,1,3.3,3,0,4,Ngõ
01,006,Thịnh Quang,1,16.2,16200.001,90.0,1,6.0,9,6,4,"Ô tô, Mặt phố, Kinh doanh"
01,006,Nguyễn Lương Bằng,1,28.0,28000.0,90.0,1,4.0,3,0,3,"Kinh doanh, Dòng tiền, Ô tô"
01,006,Khâm Thiên,1,15.6,15600.0,40.0,1,3.6,4,3,4,"Mặt phố, Kinh doanh"
01,006,Lê Duẩn,1,8.7,8700.0,70.0,1,6.8,10,4,4,Ngõ
01,006,Thái Thịnh 1,1,12.0,12000.0,45.0,1,4.7,8,2,7,"Ô tô, Kinh doanh, Thang máy, Ngõ"
01,006,Tây Sơn,1,44.0,44000.0,200.0,1,5.9,0,0,2,"Ô tô, Mặt phố, Kinh doanh, Chung cư, Dòng tiền, Thang máy"
01,006,Quốc Tử Giám,1,16.0,16000.0,30.0,1,3.3,3,3,3,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
